0.51,0.24,0.93,0.50,0.40,0.77,0.41,0.40,0.72,0.37,0.55,0.74,0.40,0.71,0.61,0.57,0.40,0.75,0.62,0.55,0.82,0.59,0.71,0.55,0.44,0.73,0.57,0.43,0.94,0.28,0.00,0.00,0.00,0.56,0.73,0.59,0.55,0.95,0.13,0.00,0.00,0.00,0.49,0.22,0.90,0.52,0.23,0.91,0.45,0.26,0.79,0.54,0.25,0.50
0.51,0.24,0.93,0.50,0.41,0.77,0.41,0.40,0.75,0.37,0.55,0.74,0.40,0.71,0.60,0.57,0.40,0.75,0.62,0.55,0.82,0.59,0.71,0.52,0.44,0.73,0.55,0.43,0.95,0.17,0.00,0.00,0.00,0.56,0.73,0.58,0.54,0.95,0.12,0.00,0.00,0.00,0.49,0.22,0.92,0.52,0.23,0.91,0.46,0.26,0.80,0.54,0.26,0.55
0.51,0.24,0.97,0.49,0.40,0.80,0.41,0.40,0.74,0.37,0.55,0.74,0.40,0.71,0.60,0.57,0.40,0.74,0.62,0.55,0.82,0.59,0.71,0.56,0.44,0.73,0.56,0.43,0.95,0.26,0.00,0.00,0.00,0.56,0.73,0.61,0.54,0.95,0.22,0.00,0.00,0.00,0.49,0.22,0.93,0.52,0.23,0.92,0.46,0.26,0.81,0.54,0.26,0.59
0.51,0.24,0.92,0.50,0.40,0.78,0.41,0.40,0.73,0.37,0.55,0.75,0.40,0.71,0.61,0.57,0.40,0.74,0.62,0.55,0.84,0.58,0.71,0.54,0.44,0.73,0.56,0.43,0.95,0.28,0.00,0.00,0.00,0.56,0.73,0.59,0.54,0.96,0.19,0.00,0.00,0.00,0.49,0.22,0.91,0.52,0.23,0.90,0.46,0.26,0.83,0.54,0.26,0.48
0.51,0.24,0.91,0.50,0.40,0.78,0.41,0.40,0.74,0.37,0.55,0.75,0.40,0.71,0.63,0.57,0.40,0.73,0.62,0.55,0.84,0.59,0.71,0.58,0.44,0.73,0.55,0.43,0.95,0.31,0.00,0.00,0.00,0.56,0.73,0.60,0.54,0.96,0.23,0.00,0.00,0.00,0.49,0.22,0.91,0.52,0.23,0.90,0.46,0.26,0.83,0.54,0.26,0.54
0.51,0.24,0.89,0.49,0.40,0.79,0.41,0.40,0.74,0.37,0.55,0.76,0.40,0.71,0.59,0.57,0.40,0.72,0.62,0.55,0.85,0.59,0.70,0.55,0.44,0.73,0.54,0.43,0.95,0.36,0.00,0.00,0.00,0.56,0.73,0.59,0.54,0.95,0.24,0.00,0.00,0.00,0.49,0.22,0.88,0.52,0.23,0.89,0.46,0.26,0.81,0.54,0.25,0.33
0.51,0.24,0.91,0.49,0.40,0.79,0.41,0.40,0.72,0.37,0.55,0.76,0.40,0.71,0.62,0.57,0.40,0.72,0.62,0.55,0.83,0.58,0.71,0.49,0.44,0.73,0.52,0.43,0.95,0.32,0.00,0.00,0.00,0.56,0.73,0.61,0.54,0.95,0.22,0.00,0.00,0.00,0.50,0.22,0.87,0.53,0.23,0.91,0.46,0.26,0.82,0.54,0.26,0.39
0.51,0.24,0.92,0.49,0.40,0.80,0.41,0.40,0.70,0.37,0.55,0.77,0.40,0.71,0.61,0.57,0.40,0.73,0.62,0.55,0.83,0.58,0.71,0.58,0.44,0.73,0.58,0.43,0.95,0.34,0.00,0.00,0.00,0.56,0.73,0.60,0.54,0.95,0.18,0.00,0.00,0.00,0.49,0.22,0.89,0.52,0.23,0.91,0.45,0.26,0.82,0.54,0.26,0.40
0.51,0.24,0.88,0.49,0.41,0.79,0.41,0.40,0.72,0.37,0.55,0.78,0.40,0.71,0.64,0.57,0.40,0.70,0.62,0.55,0.82,0.58,0.71,0.60,0.43,0.73,0.58,0.43,0.94,0.29,0.00,0.00,0.00,0.56,0.73,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.22,0.87,0.52,0.23,0.90,0.45,0.26,0.82,0.54,0.25,0.40
0.51,0.24,0.87,0.49,0.41,0.79,0.41,0.40,0.73,0.36,0.55,0.80,0.40,0.71,0.61,0.57,0.40,0.70,0.62,0.55,0.82,0.58,0.71,0.61,0.43,0.73,0.59,0.43,0.95,0.33,0.00,0.00,0.00,0.56,0.73,0.57,0.54,0.95,0.18,0.00,0.00,0.00,0.50,0.22,0.85,0.52,0.23,0.86,0.46,0.26,0.81,0.54,0.25,0.18
